anomaly_score,is_anomaly,coolant_temp,engine_rpm
4.243811e-06,False,-2.34375,0.0
4.243811e-06,False,-2.34375,0.0
4.243811e-06,False,-2.34375,0.0
4.243811e-06,False,-2.34375,0.0
4.243811e-06,False,-2.34375,0.0
4.243811e-06,False,-2.34375,0.0
4.243811e-06,False,2.34375,0.0
4.243811e-06,False,2.34375,0.0
4.243811e-06,False,2.34375,0.0
4.243811e-06,False,3.90625,0.0
4.243811e-06,False,3.90625,0.0
4.243811e-06,False,3.90625,0.0
4.243811e-06,False,3.90625,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
4.243811e-06,False,0.78125,0.0
