Sensor,Faults,AUC,Precision,Recall,F1
VEHICLE_SPEED,896,0.9744487037165522,0.9032258064516129,0.53125,0.6690091356289529
THROTTLE,8,0.7073602264685067,0.0,0.0,0.0
COOLANT_TEMPERATURE,427,1.0,1.0,0.9344262295081968,0.9661016949152542
INTAKE_MANIFOLD_PRESSURE,528,0.999623237724842,1.0,0.9678030303030303,0.983638113570741
SHORT_TERM_FUEL_TRIM_BANK_1,528,0.9981271847582007,1.0,0.9431818181818182,0.9707602339181286
