Sensor,Faults,AUC,Precision,Recall,F1
VEHICLE_SPEED,896,0.990462169569139,0.9054263565891473,0.6517857142857143,0.7579493835171967
THROTTLE,8,0.401380042462845,0.0,0.0,0.0
COOLANT_TEMPERATURE,427,0.999844247847484,1.0,0.7447306791569087,0.8536912751677852
INTAKE_MANIFOLD_PRESSURE,528,0.6070959788874227,0.0,0.0,0.0
SHORT_TERM_FUEL_TRIM_BANK_1,528,0.48960489154339415,0.0,0.0,0.0
